key,en,it,ru,fr
home,Home,Home,Главная,Accueil
email,E-mail,Email,E-mail,Email
password,Password,Password,Пароль,Mot de passe
signIn,Sign in,Accedi,Вход,Connectez
login,Login,Login,Вход,Login
book,Book,Libro,Книга,Livre
books,Books,Libri,Книги,Livres
newbook,New Book,Nuovo Libro,Новая книга,Nouveau livre
newspapers,"Newspapers","Giornali","Газеты","Journaux"
newspaper,"Newspaper","Giornale","Газета","Journal"
newnewspaper,"Newnewspaper","Nuova giornale","Новая газета","Nouveau journal"
about,About,Informazioni,О нас,À propos
admin,Admin,Amministrazione,Администратор,Administration
